athlete,age,country,year,closing_ceremony_date,sport,gold,silver,bronze,total
Yolanda Griffith,30,United States,2000,10/1/00,Basketball,1,0,0,1
Tim Hardaway,34,United States,2000,10/1/00,Basketball,1,0,0,1
Kristi Harrower,25,Australia,2000,10/1/00,Basketball,0,1,0,1
Helen,27,Brazil,2000,10/1/00,Basketball,0,0,1,1
Jo Hill,27,Australia,2000,10/1/00,Basketball,0,1,0,1
Allan Houston,29,United States,2000,10/1/00,Basketball,1,0,0,1
Lauren Jackson,19,Australia,2000,10/1/00,Basketball,0,1,0,1
Janeth,31,Brazil,2000,10/1/00,Basketball,0,0,1,1
_arunas Jasikevicius,24,Lithuania,2000,10/1/00,Basketball,0,0,1,1
Cyril Julian,26,France,2000,10/1/00,Basketball,0,1,0,1
Kelly,20,Brazil,2000,10/1/00,Basketball,0,0,1,1
Jason Kidd,27,United States,2000,10/1/00,Basketball,1,0,0,1
Annie La Fleur,30,Australia,2000,10/1/00,Basketball,0,1,0,1
Lisa Leslie,28,United States,2000,10/1/00,Basketball,1,0,0,1
Lilian,21,Brazil,2000,10/1/00,Basketball,0,0,1,1
Kestutis Marciulionis,24,Lithuania,2000,10/1/00,Basketball,0,0,1,1
Tomas Masiulis,24,Lithuania,2000,10/1/00,Basketball,0,0,1,1
Darius Maskoliunas,29,Lithuania,2000,10/1/00,Basketball,0,0,1,1
Nikki McCray,28,United States,2000,10/1/00,Basketball,1,0,0,1
Antonio McDyess,26,United States,2000,10/1/00,Basketball,1,0,0,1
DeLisha Milton-Jones,26,United States,2000,10/1/00,Basketball,1,0,0,1
Alonzo Mourning,30,United States,2000,10/1/00,Basketball,1,0,0,1
Crawford Palmer,30,France,2000,10/1/00,Basketball,0,1,0,1
Gary Payton,32,United States,2000,10/1/00,Basketball,1,0,0,1
Antoine Rigaudeau,28,France,2000,10/1/00,Basketball,0,1,0,1
St_phane Risacher,28,France,2000,10/1/00,Basketball,0,1,0,1
Laurent Sciarra,27,France,2000,10/1/00,Basketball,0,1,0,1
Silvinha,25,Brazil,2000,10/1/00,Basketball,0,0,1,1
Ramunas _i_kauskas,22,Lithuania,2000,10/1/00,Basketball,0,0,1,1
Katie Smith,26,United States,2000,10/1/00,Basketball,1,0,0,1
Steve Smith,31,United States,2000,10/1/00,Basketball,1,0,0,1
Marta Sobral,36,Brazil,2000,10/1/00,Basketball,0,0,1,1
Darius Songaila,22,Lithuania,2000,10/1/00,Basketball,0,0,1,1
Moustapha Sonko,28,France,2000,10/1/00,Basketball,0,1,0,1
Rachael Sporn,32,Australia,2000,10/1/00,Basketball,0,1,0,1
Dawn Staley,30,United States,2000,10/1/00,Basketball,1,0,0,1
Saulius _tombergas,26,Lithuania,2000,10/1/00,Basketball,0,0,1,1
Sheryl Swoopes,29,United States,2000,10/1/00,Basketball,1,0,0,1
Mindaugas Timinskas,26,Lithuania,2000,10/1/00,Basketball,0,0,1,1
Michele Timms,35,Australia,2000,10/1/00,Basketball,0,1,0,1
Fr_d_ric Weis,23,France,2000,10/1/00,Basketball,0,1,0,1
Jenny Whittle,27,Australia,2000,10/1/00,Basketball,0,1,0,1
Natalie Williams,29,United States,2000,10/1/00,Basketball,1,0,0,1
Kara Wolters,25,United States,2000,10/1/00,Basketball,1,0,0,1
Zaine,22,Brazil,2000,10/1/00,Basketball,0,0,1,1
Eurelijus _ukauskas,27,Lithuania,2000,10/1/00,Basketball,0,0,1,1
Mathias Boe,32,Denmark,2012,8/12/12,Badminton,0,1,0,1
Cai Yun,32,China,2012,8/12/12,Badminton,1,0,0,1
Chen Long,23,China,2012,8/12/12,Badminton,0,0,1,1
Fu Haifeng,28,China,2012,8/12/12,Badminton,1,0,0,1
Mizuki Fujii,23,Japan,2012,8/12/12,Badminton,0,1,0,1
Jeong Jae-Seong,29,South Korea,2012,8/12/12,Badminton,0,0,1,1
Reika Kakiiwa,23,Japan,2012,8/12/12,Badminton,0,1,0,1
Lee Chong Wei,29,Malaysia,2012,8/12/12,Badminton,0,1,0,1
Lee Yong-Dae,23,South Korea,2012,8/12/12,Badminton,0,0,1,1
Li Xuerui,21,China,2012,8/12/12,Badminton,1,0,0,1
Lin Dan,28,China,2012,8/12/12,Badminton,1,0,0,1
Ma Jin,24,China,2012,8/12/12,Badminton,0,1,0,1
Carsten Mogensen,29,Denmark,2012,8/12/12,Badminton,0,1,0,1
Saina Nehwal,22,India,2012,8/12/12,Badminton,0,0,1,1
Joachim Fischer Nielsen,33,Denmark,2012,8/12/12,Badminton,0,0,1,1
Christinna Pedersen,26,Denmark,2012,8/12/12,Badminton,0,0,1,1
Valeriya Sorokina,28,Russia,2012,8/12/12,Badminton,0,0,1,1
Tian Qing,25,China,2012,8/12/12,Badminton,1,0,0,1
Nina Vislova,25,Russia,2012,8/12/12,Badminton,0,0,1,1
Wang Yihan,24,China,2012,8/12/12,Badminton,0,1,0,1
Xu Chen,27,China,2012,8/12/12,Badminton,0,1,0,1
Zhang Nan,22,China,2012,8/12/12,Badminton,1,0,0,1
Cai Yun,28,China,2008,8/24/08,Badminton,0,1,0,1
Chen Jin,22,China,2008,8/24/08,Badminton,0,0,1,1
Du Jing,24,China,2008,8/24/08,Badminton,1,0,0,1
Fu Haifeng,24,China,2008,8/24/08,Badminton,0,1,0,1
He Hanbin,22,China,2008,8/24/08,Badminton,0,0,1,1
Hwang Ji-Man,24,South Korea,2008,8/24/08,Badminton,0,0,1,1
Markis Kido,24,Indonesia,2008,8/24/08,Badminton,1,0,0,1
Lee Chong Wei,25,Malaysia,2008,8/24/08,Badminton,0,1,0,1
Lee Gyeong-Won,28,South Korea,2008,8/24/08,Badminton,0,1,0,1
Lee Jae-Jin,25,South Korea,2008,8/24/08,Badminton,0,0,1,1
Lee Yong-Dae,19,South Korea,2008,8/24/08,Badminton,1,0,0,1
Lin Dan,24,China,2008,8/24/08,Badminton,1,0,0,1
Lilyana Natsir,22,Indonesia,2008,8/24/08,Badminton,0,1,0,1
Hendra Setiawan,23,Indonesia,2008,8/24/08,Badminton,1,0,0,1
Wei Yili,26,China,2008,8/24/08,Badminton,0,0,1,1
Nova Widianto,30,Indonesia,2008,8/24/08,Badminton,0,1,0,1
Xie Xingfan,27,China,2008,8/24/08,Badminton,0,1,0,1
Maria Yulianti,23,Indonesia,2008,8/24/08,Badminton,0,0,1,1
Zhang Ning,33,China,2008,8/24/08,Badminton,1,0,0,1
Zhang Yawen,23,China,2008,8/24/08,Badminton,0,0,1,1
Gail Emms,27,Great Britain,2004,8/29/04,Badminton,0,1,0,1
Hian Eng,27,Indonesia,2004,8/29/04,Badminton,0,0,1,1
Jens Eriksen,34,Denmark,2004,8/29/04,Badminton,0,0,1,1
Ha Tae-Gwon,29,South Korea,2004,8/29/04,Badminton,1,0,0,1
Taufik Hidayat,23,Indonesia,2004,8/29/04,Badminton,1,0,0,1
Huang Sui,22,China,2004,8/29/04,Badminton,0,1,0,1
Kim Dong-Mun,28,South Korea,2004,8/29/04,Badminton,1,0,0,1
Sony Dwi Kuncoro,20,Indonesia,2004,8/29/04,Badminton,0,0,1,1
Lee Dong-Su,30,South Korea,2004,8/29/04,Badminton,0,1,0,1
Lee Gyeong-Won,24,South Korea,2004,8/29/04,Badminton,0,0,1,1
Flandy Limpele,30,Indonesia,2004,8/29/04,Badminton,0,0,1,1
Mia Audina,24,Netherlands,2004,8/29/04,Badminton,0,1,0,1
Na Gyeong-Min,27,South Korea,2004,8/29/04,Badminton,0,0,1,1
Nathan Robertson,27,Great Britain,2004,8/29/04,Badminton,0,1,0,1
Mette Schjoldager,27,Denmark,2004,8/29/04,Badminton,0,0,1,1
Son Seung-Mo,24,South Korea,2004,8/29/04,Badminton,0,1,0,1
Yang Wei,25,China,2004,8/29/04,Badminton,1,0,0,1
Yu Yong-Seong,29,South Korea,2004,8/29/04,Badminton,0,1,0,1
Zhang Jiewen,23,China,2004,8/29/04,Badminton,1,0,0,1
Zhang Jun,26,China,2004,8/29/04,Badminton,1,0,0,1
Zhang Ning,29,China,2004,8/29/04,Badminton,1,0,0,1
Zhou Mi,25,China,2004,8/29/04,Badminton,0,0,1,1
Simon Archer,27,Great Britain,2000,10/1/00,Badminton,0,0,1,1
Ge Fei,26,China,2000,10/1/00,Badminton,1,0,0,1
Gong Zhichao,23,China,2000,10/1/00,Badminton,1,0,0,1
Gu Jun,25,China,2000,10/1/00,Badminton,1,0,0,1
Tony Gunawan,25,Indonesia,2000,10/1/00,Badminton,1,0,0,1
Ha Tae-Gwon,25,South Korea,2000,10/1/00,Badminton,0,0,1,1
Trikus Haryanto,26,Indonesia,2000,10/1/00,Badminton,0,1,0,1
Hendrawan,28,Indonesia,2000,10/1/00,Badminton,0,1,0,1
Huang Nanyan,23,China,2000,10/1/00,Badminton,0,1,0,1
Ji Xinpeng,22,China,2000,10/1/00,Badminton,1,0,0,1
Kim Dong-Mun,24,South Korea,2000,10/1/00,Badminton,0,0,1,1
Lee Dong-Su,26,South Korea,2000,10/1/00,Badminton,0,1,0,1
Camilla Martin,26,Denmark,2000,10/1/00,Badminton,0,1,0,1
Qin Yiyuan,27,China,2000,10/1/00,Badminton,0,0,1,1
Minarti Timur,32,Indonesia,2000,10/1/00,Badminton,0,1,0,1
Candra Wijaya,25,Indonesia,2000,10/1/00,Badminton,1,0,0,1
Joanne Wright-Goode,27,Great Britain,2000,10/1/00,Badminton,0,0,1,1
Xia Xuanze,21,China,2000,10/1/00,Badminton,0,0,1,1
Yang Wei,21,China,2000,10/1/00,Badminton,0,1,0,1
Ye Zhaoying,26,China,2000,10/1/00,Badminton,0,0,1,1
Yu Yong-Seong,25,South Korea,2000,10/1/00,Badminton,0,1,0,1
Zhang Jun,22,China,2000,10/1/00,Badminton,1,0,0,1
Valerie Adams-Vili,27,New Zealand,2012,8/12/12,Athletics,1,0,0,1
Habiba Al-Ghribi-Boudra,28,Tunisia,2012,8/12/12,Athletics,0,1,0,1
Ade Alleyne-Forte,23,Trinidad and Tobago,2012,8/12/12,Athletics,0,0,1,1
Nijel Amos,18,Botswana,2012,8/12/12,Athletics,0,1,0,1
Sofia Assefa,24,Ethiopia,2012,8/12/12,Athletics,0,0,1,1
Ryan Bailey,23,United States,2012,8/12/12,Athletics,0,1,0,1
Kemar Bailey-Cole,20,Jamaica,2012,8/12/12,Athletics,1,0,0,1
Keshia Baker,24,United States,2012,8/12/12,Athletics,1,0,0,1
Brigetta Barrett,21,United States,2012,8/12/12,Athletics,0,1,0,1
Erick Barrondo,21,Guatemala,2012,8/12/12,Athletics,0,1,0,1
Mutaz Essa Barshim,21,Qatar,2012,8/12/12,Athletics,0,0,1,1
Tariku Bekele,25,Ethiopia,2012,8/12/12,Athletics,0,0,1,1
Keston Bledman,24,Trinidad and Tobago,2012,8/12/12,Athletics,0,0,1,1
Chris Brown,33,Bahamas,2012,8/12/12,Athletics,1,0,0,1
Yelyzaveta Bryzhina,22,Ukraine,2012,8/12/12,Athletics,0,0,1,1
Gamze Bulut,20,Turkey,2012,8/12/12,Athletics,0,1,0,1
Marc Burns,29,Trinidad and Tobago,2012,8/12/12,Athletics,0,0,1,1
Asli _akir,26,Turkey,2012,8/12/12,Athletics,1,0,0,1
Emmanuel Callender,28,Trinidad and Tobago,2012,8/12/12,Athletics,0,0,1,1
Schillonie Calvert,24,Jamaica,2012,8/12/12,Athletics,0,1,0,1
Nesta Carter,26,Jamaica,2012,8/12/12,Athletics,1,0,0,1
Chen Ding,19,China,2012,8/12/12,Athletics,1,0,0,1
Tatyana Chernova,24,Russia,2012,8/12/12,Athletics,0,0,1,1
Anna Chicherova,30,Russia,2012,8/12/12,Athletics,1,0,0,1
Javier Culson,28,Puerto Rico,2012,8/12/12,Athletics,0,0,1,1
Christine Day,25,Jamaica,2012,8/12/12,Athletics,0,0,1,1
Meseret Defar,28,Ethiopia,2012,8/12/12,Athletics,1,0,0,1
Janay DeLoach,26,United States,2012,8/12/12,Athletics,0,0,1,1
Jeff Demps,22,United States,2012,8/12/12,Athletics,0,1,0,1
Lashinda Demus,29,United States,2012,8/12/12,Athletics,0,1,0,1
Diamond Dixon,20,United States,2012,8/12/12,Athletics,1,0,0,1
Fabrizio Donato,35,Italy,2012,8/12/12,Athletics,0,0,1,1
Derek Drouin,22,Canada,2012,8/12/12,Athletics,0,0,1,1
Ashton Eaton,24,United States,2012,8/12/12,Athletics,1,0,0,1
Jessica Ennis,26,Great Britain,2012,8/12/12,Athletics,1,0,0,1
Tatyana Firova,29,Russia,2012,8/12/12,Athletics,0,1,0,1
Michael Frater,29,Jamaica,2012,8/12/12,Athletics,1,0,0,1
Tyson Gay,30,United States,2012,8/12/12,Athletics,0,1,0,1
Dejen Gebremeskel,22,Ethiopia,2012,8/12/12,Athletics,0,1,0,1
Tiki Gelana,24,Ethiopia,2012,8/12/12,Athletics,1,0,0,1
Gong Lijiao,23,China,2012,8/12/12,Athletics,0,0,1,1
Robbie Grabarz,24,Great Britain,2012,8/12/12,Athletics,0,0,1,1
Yuliya Gushchina,29,Russia,2012,8/12/12,Athletics,0,1,0,1
Ehsan Haddadi,27,Iran,2012,8/12/12,Athletics,0,1,0,1
Trey Hardee,28,United States,2012,8/12/12,Athletics,0,1,0,1
Dawn Harper,28,United States,2012,8/12/12,Athletics,0,1,0,1
Robert Harting,27,Germany,2012,8/12/12,Athletics,1,0,0,1
Betty Heidler,28,Germany,2012,8/12/12,Athletics,0,0,1,1
Zuzana Hejnov_,25,Czech Republic,2012,8/12/12,Athletics,0,0,1,1
Samantha Henry-Robinson,23,Jamaica,2012,8/12/12,Athletics,0,1,0,1
Reese Hoffa,34,United States,2012,8/12/12,Athletics,0,0,1,1
Raphael Holzdeppe,22,Germany,2012,8/12/12,Athletics,0,0,1,1
Caterine Ibarg__n,28,Colombia,2012,8/12/12,Athletics,0,1,0,1
Abdalaati Iguider,25,Morocco,2012,8/12/12,Athletics,0,0,1,1
Yelena Isinbayeva,30,Russia,2012,8/12/12,Athletics,0,0,1,1
Maryam Jamal,27,Bahrain,2012,8/12/12,Athletics,0,0,1,1
Kirani James,19,Grenada,2012,8/12/12,Athletics,1,0,0,1
Priscah Jeptoo,28,Kenya,2012,8/12/12,Athletics,0,1,0,1
Olga Kaniskina,27,Russia,2012,8/12/12,Athletics,0,1,0,1
Gerd Kanter,33,Estonia,2012,8/12/12,Athletics,0,0,1,1
Anastasiya Kapachinskaya,32,Russia,2012,8/12/12,Athletics,0,1,0,1
Ezekiel Kemboi,30,Kenya,2012,8/12/12,Athletics,1,0,0,1
Trell Kimmons,27,United States,2012,8/12/12,Athletics,0,1,0,1
Stephen Kiprotich,23,Uganda,2012,8/12/12,Athletics,1,0,0,1
Wilson Kipsang Kiprotich,30,Kenya,2012,8/12/12,Athletics,0,0,1,1
Sally Jepkosgei Kipyego,26,Kenya,2012,8/12/12,Athletics,0,1,0,1
Sergey Kirdyapkin,32,Russia,2012,8/12/12,Athletics,1,0,0,1
Abel Kirui,30,Kenya,2012,8/12/12,Athletics,0,1,0,1
Timothy Kitum,17,Kenya,2012,8/12/12,Athletics,0,0,1,1
Bianca Knight,23,United States,2012,8/12/12,Athletics,1,0,0,1
Yevgeniya Kolodko,22,Russia,2012,8/12/12,Athletics,0,1,0,1
Primo_ Kozmus,32,Slovenia,2012,8/12/12,Athletics,0,1,0,1
Antonina Krivoshapka,25,Russia,2012,8/12/12,Athletics,0,1,0,1
Erik Kynard,21,United States,2012,8/12/12,Athletics,0,1,0,1
Yelena Lashmanova,20,Russia,2012,8/12/12,Athletics,1,0,0,1
Renaud Lavillenie,25,France,2012,8/12/12,Athletics,1,0,0,1
Deon Lendore,19,Trinidad and Tobago,2012,8/12/12,Athletics,0,0,1,1
Li Yanfeng,33,China,2012,8/12/12,Athletics,0,0,1,1
Shereefa Lloyd,29,Jamaica,2012,8/12/12,Athletics,0,0,1,1
Thomas Longosiwa,30,Kenya,2012,8/12/12,Athletics,0,0,1,1
Tatyana Lysenko,28,Russia,2012,8/12/12,Athletics,1,0,0,1
Tianna Madison,26,United States,2012,8/12/12,Athletics,1,0,0,1
Tomasz Majewski,30,Poland,2012,8/12/12,Athletics,1,0,0,1
Taoufik Makhloufi,24,Algeria,2012,8/12/12,Athletics,1,0,0,1
Josh Mance,20,United States,2012,8/12/12,Athletics,0,1,0,1
Leo Manzano,27,United States,2012,8/12/12,Athletics,0,1,0,1
Michael Mathieu,28,Bahamas,2012,8/12/12,Athletics,1,0,0,1
Francena McCorory,23,United States,2012,8/12/12,Athletics,1,0,0,1
Sally McLellan-Pearson,25,Australia,2012,8/12/12,Athletics,1,0,0,1
Tony McQuay,22,United States,2012,8/12/12,Athletics,0,1,0,1
Mahiedine Mekhissi-Benabbad,27,France,2012,8/12/12,Athletics,0,1,0,1
Aries Merritt,27,United States,2012,8/12/12,Athletics,1,0,0,1
Ramon Miller,25,Bahamas,2012,8/12/12,Athletics,1,0,0,1
Manteo Mitchell,25,United States,2012,8/12/12,Athletics,0,1,0,1
Koji Murofushi,37,Japan,2012,8/12/12,Athletics,0,0,1,1
Abel Mutai,23,Kenya,2012,8/12/12,Athletics,0,0,1,1
Nataliya Nazarova,33,Russia,2012,8/12/12,Athletics,0,1,0,1
Bryshon Nellum,23,United States,2012,8/12/12,Athletics,0,1,0,1
Christina Obergf_ll,30,Germany,2012,8/12/12,Athletics,0,1,0,1
Christine Ohuruogu,28,Great Britain,2012,8/12/12,Athletics,0,1,0,1
Bj_rn Otto,34,Germany,2012,8/12/12,Athletics,0,1,0,1
Oleksandr P'iatnytsia,27,Ukraine,2012,8/12/12,Athletics,0,1,0,1
Hansle Parchment,22,Jamaica,2012,8/12/12,Athletics,0,0,1,1
Kriszti_n Pars,30,Hungary,2012,8/12/12,Athletics,1,0,0,1
Darvis Patton,34,United States,2012,8/12/12,Athletics,0,1,0,1
Sandra Perkovic,22,Croatia,2012,8/12/12,Athletics,1,0,0,1
Tatyana Petrova-Arkhipova,29,Russia,2012,8/12/12,Athletics,0,0,1,1
Demetrius Pinder,23,Bahamas,2012,8/12/12,Athletics,1,0,0,1
Darya Pishchalnikova,27,Russia,2012,8/12/12,Athletics,0,1,0,1
Yekaterina Poistogova,21,Russia,2012,8/12/12,Athletics,0,0,1,1
Olesia Povkh,24,Ukraine,2012,8/12/12,Athletics,0,0,1,1
Qieyang Shenjie,21,China,2012,8/12/12,Athletics,0,0,1,1
Brittney Reese,25,United States,2012,8/12/12,Athletics,1,0,0,1
Jason Richardson,26,United States,2012,8/12/12,Athletics,0,1,0,1
Mariya Riemien,25,Ukraine,2012,8/12/12,Athletics,0,0,1,1
David Rudisha,23,Kenya,2012,8/12/12,Athletics,1,0,0,1
Galen Rupp,26,United States,2012,8/12/12,Athletics,0,1,0,1
Greg Rutherford,25,Great Britain,2012,8/12/12,Athletics,1,0,0,1
Antti Ruuskanen,28,Finland,2012,8/12/12,Athletics,0,0,1,1
Olga Rypakova,27,Kazakhstan,2012,8/12/12,Athletics,1,0,0,1
Olha Saladukha,29,Ukraine,2012,8/12/12,Athletics,0,0,1,1
F_lix S_nchez,34,Dominican Republic,2012,8/12/12,Athletics,1,0,0,1
Luguel_n Santos,19,Dominican Republic,2012,8/12/12,Athletics,0,1,0,1
Mariya Savinova,26,Russia,2012,8/12/12,Athletics,1,0,0,1
Lilli Schwarzkopf,28,Germany,2012,8/12/12,Athletics,0,1,0,1
Caster Semenya,21,South Africa,2012,8/12/12,Athletics,0,1,0,1
Svetlana Shkolina,26,Russia,2012,8/12/12,Athletics,0,0,1,1
Si Tianfeng,28,China,2012,8/12/12,Athletics,0,0,1,1
Yarisley Silva,25,Cuba,2012,8/12/12,Athletics,0,1,0,1
Sherone Simpson,27,Jamaica,2012,8/12/12,Athletics,0,1,0,1
Yelena Sokolova,26,Russia,2012,8/12/12,Athletics,0,1,0,1
Jarrin Solomon,26,Trinidad and Tobago,2012,8/12/12,Athletics,0,0,1,1
Barbora _pot_kov_,31,Czech Republic,2012,8/12/12,Athletics,1,0,0,1
Linda Stahl,26,Germany,2012,8/12/12,Athletics,0,0,1,1
Kerron Stewart,28,Jamaica,2012,8/12/12,Athletics,0,1,0,1
David Storl,22,Germany,2012,8/12/12,Athletics,0,1,0,1
Jenn Stuczynski-Suhr,30,United States,2012,8/12/12,Athletics,1,0,0,1
Hrystyna Stuy,24,Ukraine,2012,8/12/12,Athletics,0,0,1,1
Leonel Su_rez,24,Cuba,2012,8/12/12,Athletics,0,0,1,1
Jared Tallent,27,Australia,2012,8/12/12,Athletics,0,1,0,1
Jeneba Tarmoh,22,United States,2012,8/12/12,Athletics,1,0,0,1
Angelo Taylor,33,United States,2012,8/12/12,Athletics,0,1,0,1
Christian Taylor,22,United States,2012,8/12/12,Athletics,1,0,0,1
Richard Thompson,27,Trinidad and Tobago,2012,8/12/12,Athletics,0,0,1,1
Michael Tinsley,28,United States,2012,8/12/12,Athletics,0,1,0,1
Ivan Ukhov,26,Russia,2012,8/12/12,Athletics,1,0,0,1
Keshorn Walcott,19,Trinidad and Tobago,2012,8/12/12,Athletics,1,0,0,1
Wang Zhen,20,China,2012,8/12/12,Athletics,0,0,1,1
Mitch Watt,24,Australia,2012,8/12/12,Athletics,0,1,0,1
Warren Weir,22,Jamaica,2012,8/12/12,Athletics,0,0,1,1
Kellie Wells,30,United States,2012,8/12/12,Athletics,0,0,1,1
Rosemarie Whyte,25,Jamaica,2012,8/12/12,Athletics,0,0,1,1
Lauryn Williams,28,United States,2012,8/12/12,Athletics,1,0,0,1
Shericka Williams,26,Jamaica,2012,8/12/12,Athletics,0,0,1,1
Novlene Williams-Mills,30,Jamaica,2012,8/12/12,Athletics,0,0,1,1
Anita Wlodarczyk,27,Poland,2012,8/12/12,Athletics,0,1,0,1
Yuliya Zaripova,26,Russia,2012,8/12/12,Athletics,1,0,0,1
Mariya Abakumova,22,Russia,2008,8/24/08,Athletics,0,1,0,1
Valerie Adams-Vili,23,New Zealand,2008,8/24/08,Athletics,1,0,0,1
Virgilijus Alekna,36,Lithuania,2008,8/24/08,Athletics,0,0,1,1
Denis Alekseyev,20,Russia,2008,8/24/08,Athletics,0,0,1,1
Olena Antonova,36,Ukraine,2008,8/24/08,Athletics,0,0,1,1
Aaron Armstrong,30,Trinidad and Tobago,2008,8/24/08,Athletics,0,1,0,1
Nobuharu Asahara,36,Japan,2008,8/24/08,Athletics,0,0,1,1
Mehdi Baala,29,France,2008,8/24/08,Athletics,0,0,1,1
Dretti Bain,22,Bahamas,2008,8/24/08,Athletics,0,1,0,1
Yarelis Barrios,25,Cuba,2008,8/24/08,Athletics,0,1,0,1
Hasna Benhassi,30,Morocco,2008,8/24/08,Athletics,0,0,1,1
Keston Bledman,20,Trinidad and Tobago,2008,8/24/08,Athletics,0,1,0,1
Valeriy Borchin,21,Russia,2008,8/24/08,Athletics,1,0,0,1
Olivia Borl_e,22,Belgium,2008,8/24/08,Athletics,0,1,0,1
Chris Brown,29,Bahamas,2008,8/24/08,Athletics,0,1,0,1
Stephanie Brown-Trafton,28,United States,2008,8/24/08,Athletics,1,0,0,1
Wilfred Bungei,28,Kenya,2008,8/24/08,Athletics,1,0,0,1
Marc Burns,25,Trinidad and Tobago,2008,8/24/08,Athletics,0,1,0,1
Emmanuel Callender,24,Trinidad and Tobago,2008,8/24/08,Athletics,0,1,0,1
Ibrahim Camejo,26,Cuba,2008,8/24/08,Athletics,0,0,1,1
Veronica Campbell-Brown,26,Jamaica,2008,8/24/08,Athletics,1,0,0,1
Christian Cantwell,27,United States,2008,8/24/08,Athletics,0,1,0,1
Nesta Carter,22,Jamaica,2008,8/24/08,Athletics,1,0,0,1
Yuliya Chermoshanskaya,22,Russia,2008,8/24/08,Athletics,1,0,0,1
Tatyana Chernova,20,Russia,2008,8/24/08,Athletics,0,0,1,1
Anna Chicherova,26,Russia,2008,8/24/08,Athletics,0,0,1,1
Bryan Clay,28,United States,2008,8/24/08,Athletics,1,0,0,1
Shawn Crawford,30,United States,2008,8/24/08,Athletics,0,1,0,1
Tasha Danvers,30,Great Britain,2008,8/24/08,Athletics,0,0,1,1
Meseret Defar,24,Ethiopia,2008,8/24/08,Athletics,0,0,1,1
Pigi Devetzi,32,Greece,2008,8/24/08,Athletics,0,0,1,1
Vadim Devyatovsky,31,Belarus,2008,8/24/08,Athletics,0,1,0,1
Constantina Dita-Tomescu,38,Romania,2008,8/24/08,Athletics,1,0,0,1
Nataliya Dobrynska,26,Ukraine,2008,8/24/08,Athletics,1,0,0,1
Maksim Dyldin,21,Russia,2008,8/24/08,Athletics,0,0,1,1
Nelson _vora,24,Portugal,2008,8/24/08,Athletics,1,0,0,1
Aleksandra Fedoriva,19,Russia,2008,8/24/08,Athletics,1,0,0,1
Svetlana Feofanova,28,Russia,2008,8/24/08,Athletics,0,0,1,1
Tatyana Firova,25,Russia,2008,8/24/08,Athletics,0,1,0,1
Shalane Flanagan,27,United States,2008,8/24/08,Athletics,0,0,1,1
Hyleas Fountain,27,United States,2008,8/24/08,Athletics,0,1,0,1
Shelly-Ann Fraser-Pryce,21,Jamaica,2008,8/24/08,Athletics,1,0,0,1
Michael Frater,25,Jamaica,2008,8/24/08,Athletics,1,0,0,1
Vladislav Frolov,28,Russia,2008,8/24/08,Athletics,0,0,1,1
Kim Gevaert,30,Belgium,2008,8/24/08,Athletics,0,1,0,1
Jaouad Gharib,36,Morocco,2008,8/24/08,Athletics,0,1,0,1
Dawn Harper,24,United States,2008,8/24/08,Athletics,1,0,0,1
Natasha Hastings,22,United States,2008,8/24/08,Athletics,1,0,0,1
Tia Hellebaut,30,Belgium,2008,8/24/08,Athletics,1,0,0,1
Monique Henderson,25,United States,2008,8/24/08,Athletics,1,0,0,1
Steve Hooker,26,Australia,2008,8/24/08,Athletics,1,0,0,1
Franca Idoko,23,Nigeria,2008,8/24/08,Athletics,0,0,1,1
Phillips Idowu,29,Great Britain,2008,8/24/08,Athletics,0,1,0,1
Yelena Isinbayeva,26,Russia,2008,8/24/08,Athletics,1,0,0,1
Ismail Ahmed Ismail,23,Sudan,2008,8/24/08,Athletics,0,1,0,1
Halimat Ismaila,24,Nigeria,2008,8/24/08,Athletics,0,0,1,1
Bershawn Jackson,25,United States,2008,8/24/08,Athletics,0,0,1,1
Pamela Jelimo,18,Kenya,2008,8/24/08,Athletics,1,0,0,1
Eunice Jepkorir,26,Kenya,2008,8/24/08,Athletics,0,1,0,1
Janeth Jepkosgei,24,Kenya,2008,8/24/08,Athletics,0,1,0,1
Sheena Johnson-Tosta,25,United States,2008,8/24/08,Athletics,0,1,0,1
Olga Kaniskina,23,Russia,2008,8/24/08,Athletics,1,0,0,1
Gerd Kanter,29,Estonia,2008,8/24/08,Athletics,1,0,0,1
Anastasiya Kapachinskaya,28,Russia,2008,8/24/08,Athletics,0,1,0,1
Tsegaye Kebede,21,Ethiopia,2008,8/24/08,Athletics,0,0,1,1
Gloria Kemasoude,28,Nigeria,2008,8/24/08,Athletics,0,0,1,1
Nataliya Khoronenko-Mikhnevich,26,Belarus,2008,8/24/08,Athletics,0,1,0,1
Eliud Kipchoge,23,Kenya,2008,8/24/08,Athletics,0,1,0,1
Asbel Kiprop,19,Kenya,2008,8/24/08,Athletics,1,0,0,1
Brimin Kipruto,23,Kenya,2008,8/24/08,Athletics,1,0,0,1
Micah Kogo,22,Kenya,2008,8/24/08,Athletics,0,0,1,1
Anton Kokorin,21,Russia,2008,8/24/08,Athletics,0,0,1,1
Ainars Kovals,26,Latvia,2008,8/24/08,Athletics,0,1,0,1
Primo_ Kozmus,28,Slovenia,2008,8/24/08,Athletics,1,0,0,1
Andrey Kravchenko,22,Belarus,2008,8/24/08,Athletics,0,1,0,1
Nancy Langat,26,Kenya,2008,8/24/08,Athletics,1,0,0,1
